round,w1,w2,w3,w4
0,0.25,0.25,0.25,0.25
1,0.25,0.25,0.25,0.25
2,0.2,0.30000000000000004,0.4,0.1
3,0.25,0.25,0.25,0.25
4,0.25,0.25,0.25,0.25
5,0.25,0.25,0.25,0.25
6,0.25,0.25,0.25,0.25
7,0.25,0.25,0.25,0.25
8,0.25,0.25,0.25,0.25
9,0.25,0.25,0.25,0.25
10,0.25,0.25,0.25,0.25
11,0.30000000000000004,0.05,0.5,0.15000000000000002
12,0.25,0.25,0.25,0.25
13,0.25,0.25,0.25,0.25
14,0.25,0.25,0.25,0.25
15,0.4,0.6000000000000001,0.0,0.0
16,0.25,0.25,0.25,0.25
17,0.25,0.25,0.25,0.25
18,0.25,0.25,0.25,0.25
19,0.25,0.25,0.25,0.25
20,0.25,0.25,0.25,0.25
21,0.25,0.25,0.25,0.25
22,0.0,0.65,0.15000000000000002,0.2
23,0.25,0.25,0.25,0.25
24,0.25,0.25,0.25,0.25
25,0.35000000000000003,0.15000000000000002,0.15000000000000002,0.35000000000000003
26,0.25,0.25,0.25,0.25
27,0.25,0.25,0.25,0.25
28,0.25,0.25,0.25,0.25
29,0.25,0.25,0.25,0.25
30,0.25,0.25,0.25,0.25
31,0.25,0.25,0.25,0.25
32,0.25,0.25,0.25,0.25
33,0.25,0.25,0.25,0.25
34,0.25,0.25,0.25,0.25
35,0.4,0.15000000000000002,0.15000000000000002,0.30000000000000004
36,0.25,0.25,0.25,0.25
37,0.25,0.25,0.25,0.25
38,0.4,0.45,0.15000000000000002,0.0
39,0.25,0.25,0.25,0.25
40,0.25,0.25,0.25,0.25
41,0.25,0.25,0.25,0.25
42,0.25,0.25,0.25,0.25
43,0.25,0.25,0.25,0.25
44,0.0,0.75,0.15000000000000002,0.1
45,0.25,0.25,0.25,0.25
46,0.25,0.25,0.25,0.25
47,0.25,0.25,0.25,0.25
48,0.25,0.25,0.25,0.25
49,0.25,0.25,0.25,0.25
50,0.25,0.25,0.25,0.25
51,0.25,0.25,0.25,0.25
52,0.05,0.2,0.6000000000000001,0.15000000000000002
53,0.05,0.2,0.35000000000000003,0.4
54,0.0,0.0,0.1,0.9
55,0.25,0.25,0.25,0.25
56,0.25,0.25,0.25,0.25
57,0.25,0.25,0.25,0.25
58,0.25,0.25,0.25,0.25
59,0.25,0.25,0.25,0.25
60,0.25,0.25,0.25,0.25
61,0.25,0.25,0.25,0.25
62,0.25,0.25,0.25,0.25
63,0.25,0.25,0.25,0.25
64,0.25,0.25,0.25,0.25
65,0.25,0.25,0.25,0.25
66,0.2,0.2,0.25,0.35000000000000003
67,0.25,0.25,0.25,0.25
68,0.05,0.4,0.0,0.55
69,0.25,0.25,0.25,0.25
70,0.25,0.25,0.25,0.25
71,0.25,0.25,0.25,0.25
72,0.6000000000000001,0.05,0.15000000000000002,0.2
73,0.25,0.25,0.25,0.25
74,0.25,0.25,0.25,0.25
